City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
420,Pemangkat,ID,77.85,1.1667,108.9667,Ramah Kost KITA
427,Shelton,US,81.12,41.3165,-73.0932,Hilton Garden Inn Shelton
431,Kailua,US,79.65,21.4022,-157.7394,Sheffield House Bed & Breakfast
432,Itoman,JP,84.22,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
433,Maba,CN,81.16,24.6841,113.5984,Huayi Traders Hotel
436,Broome,US,84.69,42.2506,-75.833,Chenango Valley State Park
442,Campanha,BR,78.21,-21.8361,-45.4006,Hotel Cidade
443,Martapura,ID,75.29,-3.4167,114.85,Montana Hotel Syariah
453,Panama City,PA,84.15,8.9936,-79.5197,Trump International Hotel & Tower Panama
457,Sumenep,ID,75.74,-7.0167,113.8667,OYO 3271 Homestay Pandian
468,Praia Da Vitoria,PT,77.76,38.7333,-27.0667,Hotel Branco I
471,Piacabucu,BR,75.47,-10.4056,-36.4344,Piaçabuçu News
473,Tateyama,JP,79.11,34.9833,139.8667,Tateyama Seaside Hotel
477,Gangapur,IN,79.34,26.4833,76.7167,OYO 45271 Hotel Haveli
481,Acarau,BR,83.39,-2.8856,-40.12,castelo pizzaria
491,Muret,FR,80.04,43.3333,1.25,Logis Hôtel l'Arche de Noé
492,Wewak,PG,79.18,-3.5534,143.6268,In Wewak Boutique Hotel
493,Pachino,IT,83.07,36.7186,15.0907,Il Veliero
494,Hambantota,LK,75.54,6.1241,81.1185,Bungalow 63
495,Ankang,CN,78.62,32.68,109.0172,安琪酒店
496,Sao Gabriel Da Cachoeira,BR,81.97,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
499,Razole,IN,79.5,16.4833,81.8333,Sterling Palavelli Godavari
502,Bamban,PH,76.32,15.6747,120.3315,J&C Hidden Spring Resort
514,Abu Samrah,SY,82.96,35.3029,37.1841,
515,Bacolod,PH,77.63,10.6667,122.95,Planta Hotel & Residences
521,Oussouye,SN,79.3,12.485,-16.5469,Auberge du Routard
531,Buala,SB,79.29,-8.145,159.5921,Maringe Lagoon Lodge
533,Beihai,CN,84.97,21.4833,109.1,21 Degree Hostel
534,Hamilton,US,84.25,39.1834,-84.5333,Six Acres Bed & Breakfast
538,Cody,US,82.65,44.5263,-109.0565,"Holiday Inn Cody-at Buffalo Bill Village, an IHG Hotel"
539,Mersing,MY,77.22,2.4312,103.8405,Timotel Hotel
540,Vanimo,PG,76.68,-2.6741,141.3028,Vahmoneh Lodge Vanimo
547,Yanam,IN,78.39,16.7333,82.2167,The Regency Hotel
552,Nantucket,US,80.71,41.2835,-70.0995,Jared Coffin House
554,Gariadhar,IN,79.9,21.5333,71.5833,Circuit House
566,Northampton,US,84.54,40.8754,-75.2499,Gateway Motel
576,Trat,TH,82.87,12.5,102.5,สวนหนิง-อัศ
581,Baker City,US,83.91,44.7749,-117.8344,Bridge Street Inn
