City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Oranjemund,NA,2022-07-25 18:56:15,-28.55,16.4333,58.78,73,0,6.85
91,Hilo,US,2022-07-25 18:48:44,19.7297,-155.09,81.25,70,40,3.44
92,Dikson,RU,2022-07-25 18:48:12,73.5069,80.5464,46.08,97,95,19.64
93,Cherskiy,RU,2022-07-25 18:56:16,68.75,161.3,46.98,54,49,8.63
94,Kavieng,PG,2022-07-25 18:53:02,-2.5744,150.7967,81.28,80,15,17.13
95,Zarichne,UA,2022-07-25 18:56:17,51.8126,26.129,61.65,71,7,4.68
96,Pointe Michel,DM,2022-07-25 18:56:17,15.25,-61.3833,86.94,70,40,10.36
97,Dhidhdhoo,MV,2022-07-25 18:56:18,6.8833,73.1,81.95,78,100,14.7
98,Paramonga,PE,2022-07-25 18:56:18,-10.6667,-77.8333,66.18,74,51,11.5
99,Avera,US,2022-07-25 18:54:06,33.194,-82.5271,92.71,39,100,8.12
100,Mar Del Plata,AR,2022-07-25 18:47:39,-38.0023,-57.5575,51.82,92,100,14.97
101,Porto Novo,BJ,2022-07-25 18:56:19,6.4965,2.6036,78.62,82,100,8.97
102,Constitucion,CL,2022-07-25 18:56:19,-35.3333,-72.4167,55.98,77,100,23.91
103,West Lorne,CA,2022-07-25 18:56:20,42.6001,-81.5998,77.68,42,8,11.86
104,Anadyr,RU,2022-07-25 18:56:20,64.75,177.4833,45.1,87,0,0.0
105,Ust-Nera,RU,2022-07-25 18:51:19,64.5667,143.2,62.96,58,12,3.76
106,Robertsport,LR,2022-07-25 18:56:20,6.7533,-11.3686,76.84,71,50,10.63
107,Brae,GB,2022-07-25 18:56:21,60.3964,-1.353,50.9,78,100,23.69
108,Port Augusta,AU,2022-07-25 18:56:21,-32.5,137.7667,44.87,79,0,7.43
109,Skjervoy,NO,2022-07-25 18:56:21,70.0311,20.9714,60.8,80,100,10.36
110,Bethel,US,2022-07-25 18:51:17,41.3712,-73.414,82.35,74,40,6.91
111,Kieta,PG,2022-07-25 18:56:22,-6.2167,155.6333,77.83,85,83,2.77
112,Solnechnyy,RU,2022-07-25 18:56:22,50.7214,136.6319,61.61,99,89,5.37
113,Kharovsk,RU,2022-07-25 18:56:23,59.9642,40.1912,63.64,86,94,5.7
114,Kerman,IR,2022-07-25 18:56:23,30.2832,57.0788,87.66,20,40,4.61
115,Tecoanapa,MX,2022-07-25 18:56:24,16.5167,-98.75,86.5,58,98,8.14
116,Saint-Philippe,RE,2022-07-25 18:50:08,-21.3585,55.7679,65.79,82,46,11.07
117,Balrampur,IN,2022-07-25 18:56:24,27.4333,82.1833,85.75,63,76,10.89
118,Provideniya,RU,2022-07-25 18:56:25,64.3833,-173.3,41.04,90,100,8.97
119,Hermanus,ZA,2022-07-25 18:47:52,-34.4187,19.2345,49.8,67,0,9.48
120,Muros,ES,2022-07-25 18:56:25,42.7762,-9.0603,79.68,58,0,11.52
121,Kloulklubed,PW,2022-07-25 18:56:26,7.0419,134.2556,83.59,74,70,8.23
122,New Norfolk,AU,2022-07-25 18:47:26,-42.7826,147.0587,53.1,88,100,1.54
123,Pontianak,ID,2022-07-25 18:56:26,-0.0333,109.3333,76.98,94,40,2.3
124,Macapa,BR,2022-07-25 18:56:27,0.0389,-51.0664,87.78,74,40,6.91
125,Simpang,ID,2022-07-25 18:56:27,-1.2667,104.0833,73.99,98,100,3.18
126,Saint George,US,2022-07-25 18:51:13,37.1041,-113.5841,94.42,34,0,13.8
127,Hailar,CN,2022-07-25 18:56:27,49.2,119.7,62.4,92,100,8.57
128,Kencong,ID,2022-07-25 18:56:28,-8.2833,113.3667,70.07,85,97,3.6
129,Talara,PE,2022-07-25 18:56:28,-4.5772,-81.2719,75.96,60,0,13.8
130,Horodyshche,UA,2022-07-25 18:56:28,49.2849,31.4451,68.72,63,95,8.77
131,Kashi,CN,2022-07-25 18:56:29,39.4547,75.9797,87.01,20,0,8.95
132,Bengkulu,ID,2022-07-25 18:56:29,-3.8004,102.2655,71.65,87,100,4.07
133,Najran,SA,2022-07-25 18:57:30,17.4924,44.1277,83.05,46,100,11.72
134,Asau,RO,2022-07-25 18:57:30,46.4333,26.4,72.52,52,43,2.3
135,Ilulissat,GL,2022-07-25 18:57:30,69.2167,-51.1,39.76,90,100,3.15
136,Melo,UY,2022-07-25 18:57:31,-32.3667,-54.1833,69.17,86,100,7.58
137,Myitkyina,MM,2022-07-25 18:57:31,25.3833,97.4,74.34,98,76,1.19
138,Macheng,CN,2022-07-25 18:57:32,31.1783,115.0319,78.53,83,90,2.93
139,Havre-Saint-Pierre,CA,2022-07-25 18:53:04,50.2334,-63.5986,68.36,88,100,0.0
140,Jiuquan,CN,2022-07-25 18:57:32,39.7432,98.5174,75.24,32,99,9.1
141,Carballo,ES,2022-07-25 18:57:32,43.213,-8.691,75.0,80,0,5.99
142,Wasilla,US,2022-07-25 18:55:55,61.5814,-149.4394,63.07,81,100,11.5
143,San Patricio,US,2022-07-25 18:50:09,28.017,-97.5169,97.52,41,3,16.04
144,Vila Velha,BR,2022-07-25 18:57:34,-20.3297,-40.2925,78.75,74,75,10.36
145,Merauke,ID,2022-07-25 18:57:34,-8.4667,140.3333,74.88,87,45,13.62
146,Mtimbira,TZ,2022-07-25 18:57:34,-8.7833,36.35,73.63,56,93,1.57
147,Polis,CY,2022-07-25 18:57:16,35.0367,32.4264,82.22,52,0,3.0
148,Storforshei,NO,2022-07-25 18:57:35,66.4043,14.5233,67.78,60,40,11.5
149,Talnakh,RU,2022-07-25 18:48:46,69.4865,88.3972,56.21,87,17,7.09
150,The Valley,AI,2022-07-25 18:57:35,18.217,-63.0578,87.66,70,20,20.71
151,Portland,US,2022-07-25 18:54:26,45.5234,-122.6762,89.71,48,6,5.99
